bird_id,stopover_id,lat,lon,date_first,date_last,duration_days,n_fixes,mean_nsd_km,shared_with,n_birds_total
29836_7-A,29836_7-A_stop1,-15.2178,-51.6563,2001-09-12,2001-09-22,11,16,5706.3,,1
29840_EE,29840_EE_stop0,20.0358,-75.0235,1998-10-08,1998-10-13,5,6,3420.6,21047_EU,2
29842_FX,29842_FX_stop0,11.3082,-73.9244,1999-09-18,1999-09-19,1,5,4143.6,,1
29842_FX,29842_FX_stop1,10.7279,-74.5605,1999-09-20,1999-10-29,39,16,4177.3,20222_AW;20222_HS;25659_P3,4
29843_DG,29843_DG_stop0,20.5328,-76.6733,1998-09-11,1998-09-16,5,4,2307.0,10057_KB,2
29843_DG,29843_DG_stop1,19.0702,-70.485,1998-09-25,1998-09-30,5,4,2437.8,,1
29845_EF,29845_EF_stop0,11.6812,-85.8466,1998-10-08,1998-10-13,5,5,3947.0,,1
29848_B4,29848_B4_stop1,17.8412,-91.8421,1998-10-01,1998-10-14,14,9,3131.6,20226_B4;21018_O18,3
29849_os_22,29849_os_22_stop0,30.3644,-91.749,1997-10-04,1997-10-06,3,5,1631.9,,1
29849_os_22,29849_os_22_stop1,9.1736,-74.8101,1997-10-26,1997-11-02,7,7,4344.3,,1
29850_EY,29850_EY_stop0,23.03,-80.9555,1999-09-29,1999-09-29,1,4,2138.5,,1
29850_EY,29850_EY_stop1,21.4767,-78.0237,1999-10-01,1999-10-11,10,15,2221.2,10057_KB;20226_FZ;20228_8-5,4
29851_CX,29851_CX_stop0,40.3919,-91.3693,1997-08-30,1997-09-13,14,12,703.4,,1
29853_F3,29853_F3_stop0,37.703,-89.3833,1997-08-23,1997-08-25,3,3,1038.8,,1
29853_os_853,29853_os_853_stop0,-13.3192,-63.3833,1999-09-24,1999-10-23,29,6,6002.7,,1
29854_HU,29854_HU_stop0,21.2205,-77.5705,2000-09-15,2000-09-15,1,4,2259.9,20226_FZ,2
29854_Z0,29854_Z0_stop1,10.7233,-71.4457,1998-10-02,1998-10-04,3,3,4487.0,25659_Z0,2
29855_X4,29855_X4_stop0,21.2195,-76.9095,1999-08-28,1999-08-28,1,4,2246.7,,1
29856_DD,29856_DD_stop0,38.9264,-95.3602,1997-08-19,1997-08-27,8,10,846.4,,1
